name,glycemic_index,carbohydrates,fiber,protein,fat,processing_level,serving_size_grams
peaches fruit cup in juice,50,21.6,1.0,0.6,0.1,processed,115
thigh chicken stewed,0,0.0,0.0,23.2,14.9,minimally_processed,105
roast beef baked,0,0.0,0.0,24.6,22.1,minimally_processed,99
white tea iced,6,6.4,0.0,0.1,0.0,minimally_processed,221
apple juice fresh,45,13.7,0.2,1.8,0.1,processed,265
white quinoa cooked,51,20.9,2.9,4.1,2.1,minimally_processed,187
ginger cookie,66,74.3,1.7,6.8,25.0,ultra_processed,27
tenderloin pork baked,0,1.7,0.0,24.8,17.4,minimally_processed,93
blt sandwich on rye,50,41.1,2.8,17.3,25.8,processed,155
greek salad with dressing,52,6.1,2.1,2.4,12.9,processed,138
prune juice fresh,60,10.9,0.0,0.6,0.0,processed,255
romaine leafy green grilled,12,3.6,2.5,1.9,0.5,whole,27
arugula leafy green pureed,16,3.0,2.8,3.3,0.5,whole,31
cranberry berry,39,14.2,6.7,1.4,0.4,whole,156
canadian bacon chewy,0,0.4,0.0,27.1,48.1,processed,14
spinach leafy green grilled,15,2.6,1.6,2.3,0.3,whole,28
walnut nut unsalted,4,28.1,3.1,16.9,64.6,minimally_processed,25
fuji apple juiced,38,15.2,2.1,0.3,0.2,whole,186
bean chips plain,67,54.0,7.8,9.3,25.2,ultra_processed,28
shoulder pork stewed,0,1.3,0.0,20.3,6.2,minimally_processed,105
sausage pork smoked,0,0.7,0.0,25.4,31.9,minimally_processed,97
italian salad dressing,36,14.4,0.0,1.5,38.1,processed,27
roasted peanut,12,14.3,8.5,25.0,50.4,processed,25
yellow squash squash steamed,18,5.7,1.6,1.5,0.1,whole,115
five grain tempeh,10,9.6,0.0,18.3,11.6,processed,103
white rice boiled,98,27.6,0.9,3.3,0.8,processed,142
golden delicious apple,35,14.9,3.4,0.5,0.2,whole,191
almond nut butter,7,23.7,6.7,25.1,54.1,processed,33
shallot onion grilled,15,8.9,1.6,1.4,0.1,whole,168
zucchini squash roasted,22,7.9,2.3,1.6,0.1,whole,121
whole chicken pan-seared,0,0.0,0.0,21.1,13.0,minimally_processed,105
bagel bread fresh,55,45.7,3.9,14.1,2.4,processed,26
arugula leafy green boiled,11,3.4,2.3,3.2,0.5,whole,30
tuna fish grilled,0,0.0,0.0,29.0,1.5,minimally_processed,100
swiss chard leafy green pickled,18,4.7,2.8,1.9,0.5,whole,28
whole milk,29,3.5,0.2,2.0,3.6,minimally_processed,267
bok choy cruciferous roasted,11,4.9,2.6,2.5,0.3,whole,96
white rice pilaf,51,26.8,0.5,3.4,0.2,processed,159
veggie taco corn tortilla,59,27.3,4.7,17.8,13.2,processed,101
sweet onion sauteed,11,7.0,1.6,1.1,0.2,whole,169
russet potato boiled,52,17.4,2.1,1.9,10.8,processed,146
iceberg leafy green boiled,20,4.8,2.6,2.3,0.6,whole,27
red potato mashed,58,22.8,2.1,2.7,0.2,processed,147
passion fruit tropical fruit dried,67,13.1,2.7,0.9,0.4,whole,148
kidney bean refried,26,20.8,7.8,9.4,1.4,minimally_processed,177
parsnip root vegetable boiled,39,9.5,2.9,1.3,0.1,whole,116
split pea cooked,43,16.7,7.4,4.3,0.3,minimally_processed,147
hulled barley steamed,26,71.1,17.1,12.9,2.1,minimally_processed,145
salmon fish roasted,0,0.0,0.0,23.3,7.0,minimally_processed,92
tropical trail mix,40,46.3,9.5,17.0,25.8,processed,46
tapioca pudding,74,18.6,0.1,3.9,4.9,processed,97
tenderloin pork roasted,0,0.6,0.0,21.5,19.5,processed,97
scallops seafood stewed,0,0.8,0.0,20.9,1.9,minimally_processed,99
rotisserie chicken grilled,0,0.0,0.0,26.1,8.4,minimally_processed,91
turkey sausage baked,11,4.9,0.0,19.9,19.6,processed,85
twist pretzel,75,75.7,2.7,10.6,5.5,processed,26
yellow onion pureed,15,7.3,2.4,1.3,0.2,whole,157
scallion onion roasted,20,9.1,1.7,1.2,0.2,whole,166
egg salad sandwich on rye,62,36.8,4.4,17.6,22.4,processed,157
corn chips fried,56,46.0,5.8,6.7,29.8,ultra_processed,27
flax tempeh steamed,4,7.9,0.0,20.2,8.9,processed,101
crab seafood pan-seared,0,1.1,0.0,17.7,1.5,minimally_processed,91
zucchini squash pureed,20,5.5,1.9,2.0,0.2,whole,122
arugula leafy green grilled,18,2.3,2.2,1.9,0.3,whole,32
sweet onion pureed,15,8.7,1.9,1.1,0.2,whole,164
ginger tea sweetened,6,7.1,0.0,0.2,0.0,minimally_processed,240
serrano pepper,20,5.0,2.1,1.2,0.4,whole,150
whole grain cracker,67,71.7,7.4,9.8,7.2,processed,25
ravioli pasta overcooked,43,24.4,4.3,5.3,2.0,processed,151
bok choy cruciferous boiled,19,4.9,2.2,3.4,0.3,whole,96
cranberry juice canned,62,13.6,0.2,1.5,0.2,processed,252
ground turkey braised,0,0.2,0.0,27.7,3.6,minimally_processed,108
bratwurst sausage pan-seared,13,3.5,0.0,15.8,19.3,processed,82
green banana frozen,61,24.8,3.4,1.1,0.4,whole,108
shrimp instant noodle pack,64,51.7,3.2,11.1,15.2,ultra_processed,87
leek onion pickled,19,8.3,1.8,1.2,0.1,whole,165
extra firm tofu grilled,20,2.0,0.9,11.6,5.2,processed,101
basmati rice boiled,69,22.0,0.7,3.3,0.4,processed,153
braeburn apple,40,13.2,3.1,0.4,0.3,whole,180
trout fish stewed,0,0.0,0.0,29.6,1.6,minimally_processed,92
halibut fish stewed,0,0.0,0.0,28.6,10.1,minimally_processed,100
chicken instant noodle pack,62,51.8,2.2,8.4,18.9,ultra_processed,90
cannellini bean canned,28,22.9,9.6,9.6,1.3,minimally_processed,186
fingerling potato fried,62,18.3,2.1,1.7,11.9,processed,153
green pea frozen,22,14.8,5.0,4.7,0.5,minimally_processed,138
focaccia bread toasted,64,52.7,4.7,14.4,2.8,processed,26
cheesecake cake,65,58.1,1.6,5.9,18.6,processed,85
beef stir fry with rice,55,25.8,4.7,24.9,11.8,processed,357
ramen noodle dish with broth,57,47.6,2.4,21.3,10.7,processed,329
vegetable soup homemade,36,14.6,2.0,4.6,7.4,processed,265
bell yellow pepper boiled,10,4.1,1.7,1.2,0.4,whole,156
maitake mushroom grilled,15,2.5,1.9,2.3,0.3,whole,73
vinaigrette salad dressing,20,10.9,0.3,0.9,16.2,processed,28
navel orange juiced,46,11.0,2.7,0.9,0.1,whole,136
chicken noodle soup canned,59,17.9,1.2,10.5,4.5,processed,242
bagel bread stale,66,47.2,4.0,10.5,3.0,processed,28
chia seed roasted,19,15.9,20.8,22.0,31.7,minimally_processed,28
alfredo sauce,43,24.6,1.7,4.0,0.7,processed,30
oyster mushroom sauteed,20,2.9,1.6,2.9,0.4,whole,67
honey sweetener,51,77.2,0.4,0.3,0.0,processed,21
bean chips salted,69,58.7,6.0,8.3,33.5,ultra_processed,30
kohlrabi cruciferous steamed,19,4.4,2.3,3.2,0.3,whole,94
jasmine rice steamed,90,23.5,1.2,2.6,1.0,processed,155
peanut butter cookie,57,74.3,1.2,5.7,20.3,ultra_processed,28
turkey burger single,51,39.6,1.9,40.2,33.4,processed,162
cold brew coffee iced,0,12.0,0.0,2.2,4.5,minimally_processed,253
eel sushi roll with white rice,56,25.3,1.6,12.4,11.4,processed,95
beet root vegetable pickled,45,8.9,2.1,1.3,0.1,whole,118
fig dried fruit,53,77.6,9.9,3.5,0.4,processed,41
red onion pickled,16,8.1,1.6,1.1,0.2,whole,172
butternut squash grilled,58,4.9,2.6,1.7,0.2,whole,118
shrimp instant noodle cup,61,53.5,3.4,10.8,16.0,ultra_processed,88
bean taco corn tortilla,48,34.2,4.6,15.6,10.0,processed,106
spinach leafy green sauteed,11,4.3,2.3,2.0,0.3,whole,30
veggie pizza thin crust,51,39.6,2.4,15.6,13.9,processed,96
valencia orange canned,41,11.6,2.2,0.9,0.1,whole,133
whole wheat bread toasted,50,44.9,2.6,13.1,3.5,processed,25
veggie taco soft shell,47,34.4,4.5,21.0,20.3,processed,104
egg salad sandwich wrap,57,39.0,2.6,27.4,25.3,processed,135
wheat cracker,67,66.2,4.4,9.2,7.6,processed,28
brussels sprouts cruciferous sauteed,11,6.6,2.9,3.3,0.2,whole,90
peach stone fruit canned,36,9.7,2.0,1.0,0.3,whole,150
maitake mushroom pureed,12,3.6,1.1,2.6,0.4,whole,72
chicken burrito flour tortilla,54,60.4,7.4,29.7,25.9,processed,234
earl grey tea iced,9,4.4,0.0,0.1,0.0,minimally_processed,253
chicken quesadilla flour tortilla,64,41.3,2.0,17.9,24.1,processed,153
bell yellow pepper grilled,13,5.0,2.4,1.4,0.3,whole,136
mung bean cooked,30,20.9,7.0,9.4,0.9,minimally_processed,178
lobster seafood smoked,0,0.5,0.0,16.7,1.9,minimally_processed,106
maitake mushroom boiled,12,2.5,1.4,2.2,0.4,whole,66
veggie pizza regular crust,70,34.6,3.1,14.4,9.5,processed,106
heirloom tomato sun-dried,16,3.7,1.3,0.9,0.2,processed,187
acorn squash pickled,23,4.8,2.9,1.1,0.2,whole,114
americano coffee hot,28,10.8,0.0,1.0,0.3,minimally_processed,244
pita chips fried,59,54.5,3.8,5.3,33.7,ultra_processed,30
rutabaga root vegetable pureed,47,10.8,3.8,1.5,0.3,whole,125
yellow lentil canned,34,20.8,8.7,9.3,0.4,minimally_processed,179
yukon gold potato baked,80,23.8,2.8,2.8,9.5,whole,147
bratwurst sausage smoked,14,3.8,0.0,16.7,17.9,processed,82
russet potato mashed,60,22.0,3.2,1.7,1.5,whole,136
portobello mushroom grilled,13,3.1,1.8,2.6,0.3,whole,72
honeycrisp apple stewed,31,13.5,2.6,0.5,0.2,whole,169
cashew nut roasted,7,17.9,9.2,23.4,56.7,minimally_processed,26
pumpernickel bread toasted,59,44.7,6.1,9.1,3.5,processed,26
steak beef smoked,0,0.0,0.0,25.7,9.3,minimally_processed,101
white onion,18,8.0,2.5,1.4,0.2,whole,154
white potato baked,65,17.4,3.8,1.9,6.5,whole,145
blood orange canned,47,11.9,2.3,1.0,0.1,whole,125
turkey sausage smoked,0,1.2,0.0,15.0,22.8,processed,83
tofu stir fry with rice,59,48.0,4.9,20.2,7.2,processed,331
rice krispies cereal with milk,52,79.1,3.2,14.1,19.3,ultra_processed,28
linguine pasta overcooked,51,29.3,4.2,4.0,1.8,processed,153
bacon pork stewed,0,1.5,0.0,25.5,21.8,processed,101
pork sausage smoked,6,0.5,0.0,21.0,27.7,processed,87
cod fish baked,0,0.0,0.0,24.6,3.5,minimally_processed,108
cremini mushroom grilled,20,3.7,1.2,2.2,0.3,whole,71
sardines fish smoked,0,0.0,0.0,20.9,4.8,minimally_processed,104
honeydew melon chilled,74,8.8,0.4,0.6,0.1,whole,138
mandarin canned fruit in syrup,61,27.7,1.4,0.9,0.0,processed,121
sirloin beef grilled,0,0.0,0.0,23.5,17.4,minimally_processed,93
plum stone fruit,45,11.5,2.5,1.1,0.4,whole,150
rice pudding,70,19.1,0.7,2.3,4.8,processed,98
guava tropical fruit,44,13.7,2.4,1.1,0.2,whole,143
potato chips baked,69,49.7,3.3,8.5,26.6,ultra_processed,28
pumpkin squash,35,9.1,1.8,1.8,0.2,whole,115
ribeye beef poached,0,0.0,0.0,23.9,8.1,minimally_processed,99
green tea unsweetened,18,2.7,0.0,0.1,0.0,minimally_processed,222
beef burrito whole wheat tortilla,51,59.2,6.6,26.5,19.7,processed,233
cantaloupe melon,65,8.2,0.5,0.6,0.2,whole,144
shrimp fried rice white rice,64,40.8,1.6,10.7,12.2,processed,255
rutabaga root vegetable boiled,45,9.7,2.3,1.3,0.2,whole,134
bell orange pepper pickled,13,5.8,2.1,1.0,0.2,whole,143
chicken curry red,57,23.7,5.1,12.0,20.9,processed,243
lobster seafood poached,0,2.2,0.0,22.1,0.7,minimally_processed,96
pink lady apple pureed,35,12.8,3.2,0.3,0.3,whole,172
pork bacon chewy,0,1.0,0.0,34.2,40.0,processed,15
white quinoa steamed,50,20.1,2.5,5.0,2.1,minimally_processed,169
red wine vinegar,8,2.6,0.0,0.0,0.0,processed,13
roast beef roasted,0,0.0,0.0,23.9,10.7,minimally_processed,107
purple potato boiled,75,24.0,2.6,2.1,9.9,processed,151
sushi rice steamed,105,28.8,0.7,3.4,1.0,processed,164
butter lettuce leafy green boiled,10,3.6,2.1,2.2,0.5,whole,28
potato chips fried,73,49.6,7.2,5.3,38.2,ultra_processed,30
margherita pizza regular crust,57,32.2,3.2,13.8,10.4,processed,100
carnitas taco soft shell,50,26.5,6.0,18.5,24.3,processed,101
prune juice canned,48,11.3,0.1,1.1,0.0,processed,226
black quinoa pilaf,53,21.9,2.7,4.9,1.9,minimally_processed,184
cremini mushroom steamed,15,2.7,1.8,2.5,0.2,whole,74
sweet potato chips plain,62,51.2,6.3,8.6,27.4,ultra_processed,25
shrimp seafood baked,0,1.1,0.0,19.1,2.0,minimally_processed,92
rutabaga root vegetable,41,11.2,2.7,1.1,0.1,whole,139
sardines fish braised,0,0.0,0.0,20.5,13.2,minimally_processed,90
greek salad no dressing,27,27.6,4.4,3.3,7.5,processed,159
rotisserie chicken baked,0,0.0,0.0,22.2,10.9,minimally_processed,96
arborio rice pilaf,88,21.4,1.3,3.1,0.5,processed,166
fuji apple frozen,40,15.7,2.7,0.3,0.2,whole,191
mustard greens leafy green sauteed,16,4.2,1.8,3.3,0.6,whole,28
thigh chicken baked,0,0.0,0.0,24.2,9.3,minimally_processed,98
sticky rice boiled,67,23.3,1.0,3.3,0.4,processed,151
rutabaga root vegetable sauteed,42,9.6,2.4,1.4,0.2,whole,136
black bean soup canned,52,6.1,3.0,9.0,2.5,processed,247
fettuccine pasta al dente,51,22.0,2.4,4.7,1.7,processed,153
pineapple juice canned,52,10.1,0.2,1.1,0.1,processed,236
serrano pepper boiled,15,6.2,1.8,1.2,0.3,whole,160
tuna fish smoked,0,0.0,0.0,27.3,7.7,minimally_processed,100
pumpkin squash sauteed,69,11.1,2.1,1.3,0.3,whole,113
honeycrisp apple,31,14.3,2.1,0.4,0.3,whole,177
elderberry berry dried,26,8.0,6.9,0.7,0.2,whole,148
apricot canned fruit in syrup,64,21.1,1.5,0.8,0.1,processed,121
watermelon melon chilled,67,7.0,0.7,0.6,0.3,whole,166
jalapeno pepper steamed,12,5.2,2.5,1.0,0.3,whole,143
green apple juiced,39,15.7,3.1,0.5,0.3,whole,188
sausage pork grilled,0,0.6,0.0,25.7,18.2,processed,102
mussels seafood roasted,0,2.0,0.0,19.7,1.8,minimally_processed,93
red potato boiled,66,16.4,2.8,2.9,13.8,processed,138
cod fish grilled,0,0.0,0.0,23.7,12.2,minimally_processed,92
beef quesadilla corn tortilla,64,30.8,3.5,17.4,14.4,processed,149
halibut fish baked,0,0.0,0.0,25.4,9.6,minimally_processed,99
bison burger single,47,33.9,2.9,32.9,26.8,processed,154
cocoa powder chocolate,34,51.7,11.3,7.2,41.4,processed,29
veggie stir fry with noodles,47,48.9,3.1,24.6,6.2,processed,363
sweet onion,12,9.3,1.9,1.2,0.1,whole,145
red delicious apple stewed,30,15.6,3.5,0.4,0.2,whole,186
bell green pepper pureed,17,4.8,2.4,1.0,0.2,whole,135
chickpea bean canned,40,24.3,9.8,9.2,0.6,minimally_processed,158
cauliflower cruciferous roasted,17,5.7,3.2,2.2,0.3,whole,83
poblano pepper grilled,11,4.8,1.7,1.1,0.2,whole,138
burrito frozen meal,70,28.6,5.5,21.5,15.6,processed,268
scotch barley boiled,31,71.0,15.7,10.0,2.3,minimally_processed,146
cappuccino coffee with milk,19,2.1,0.0,1.7,2.5,minimally_processed,243
veggie quesadilla flour tortilla,57,41.7,3.2,24.1,19.8,processed,159
cuban sandwich on wheat,45,37.2,5.3,26.3,10.9,processed,143
parmesan cheese,0,2.2,0.0,22.5,11.0,processed,25
apricot dried fruit,56,67.0,10.6,2.4,0.7,processed,36
cappuccino coffee iced,2,3.5,0.0,0.2,1.7,minimally_processed,249
yellow banana,55,21.3,3.2,1.2,0.3,whole,117
navy bean refried,29,23.1,7.2,8.7,1.4,minimally_processed,165
collard greens leafy green,14,4.7,2.4,1.6,0.3,whole,30
margherita pizza thin crust,68,26.2,2.9,16.0,17.0,processed,113
crenshaw melon,80,7.3,0.5,0.6,0.2,whole,143
pesto sauce,35,7.9,1.3,2.1,18.2,processed,27
yellow onion steamed,10,9.2,2.1,1.3,0.1,whole,173
bratwurst sausage roasted,0,0.8,0.0,18.3,34.3,processed,87
pita chips baked,56,58.8,3.6,8.0,34.9,ultra_processed,29
bell red pepper steamed,13,5.6,1.9,1.2,0.3,whole,140
shoulder pork braised,0,1.1,0.0,22.5,7.7,minimally_processed,96
cuban sandwich on rye,59,44.2,5.9,28.7,28.8,processed,158
california sushi roll with white rice,73,34.9,1.2,8.1,9.0,processed,103
raspberry berry,51,10.8,2.6,1.1,0.6,whole,130
fuji apple canned,35,15.6,2.6,0.3,0.3,whole,198
ravioli pasta cooked,47,26.4,3.2,5.8,1.3,processed,131
cashew nut unsalted,7,19.5,5.7,22.6,59.8,minimally_processed,28
flax seed unsalted,4,18.1,20.5,29.0,39.5,minimally_processed,27
sardines fish baked,0,0.0,0.0,19.7,14.6,minimally_processed,109
shiitake mushroom boiled,12,2.7,1.6,2.0,0.3,whole,73
beef burger double,47,39.2,1.3,21.0,37.9,processed,161
angel food cake,58,50.3,1.6,5.5,20.1,processed,85
cheese quesadilla corn tortilla,63,33.4,2.8,26.1,13.2,processed,138
regular vanilla yogurt,24,13.7,0.0,11.8,2.8,processed,179
watercress leafy green boiled,20,2.8,1.7,1.9,0.2,whole,31
chocolate trail mix,44,53.5,9.4,12.6,28.0,processed,38
sesame seed unsalted,2,17.0,5.1,15.3,46.4,minimally_processed,26
jalapeno pepper grilled,15,5.6,2.0,1.4,0.3,whole,157
turnip root vegetable roasted,31,10.2,3.2,1.4,0.1,whole,125
oyster mushroom,20,3.3,2.0,2.7,0.4,whole,68
breast turkey smoked,0,0.0,0.0,29.0,0.6,minimally_processed,108
green salad no dressing,20,24.4,1.3,6.5,7.7,processed,161
turkey sandwich wrap,58,43.4,4.3,33.3,23.8,processed,152
italian sausage stewed,3,3.8,0.0,20.2,25.4,processed,91
ham sandwich on white,48,35.2,4.8,25.5,18.0,processed,145
fish taco hard shell,52,20.4,4.2,17.7,16.4,processed,99
white potato mashed,88,21.5,3.2,2.5,12.9,processed,152
kohlrabi cruciferous pickled,10,6.9,2.5,1.9,0.5,whole,95
gala apple baked,38,15.2,3.4,0.4,0.2,whole,193
thigh chicken poached,0,0.0,0.0,30.0,2.2,minimally_processed,91
chop pork poached,0,0.4,0.0,25.8,8.8,processed,92
pear canned fruit in syrup,61,19.3,2.6,0.8,0.1,processed,120
sugar snap pea canned,26,19.6,6.0,6.0,0.6,minimally_processed,138
chocolate pudding,74,24.1,0.3,2.0,6.9,processed,93
fuji apple,35,14.0,3.4,0.3,0.2,whole,185
stir fry frozen meal,56,37.0,3.9,16.0,20.0,processed,271
broccoli cruciferous pureed,17,6.1,3.0,2.7,0.4,whole,98
pork sausage stewed,5,1.3,0.0,19.2,27.3,processed,85
bacon pork roasted,0,0.0,0.0,22.8,12.4,processed,91
apple juice canned,53,14.4,0.3,0.7,0.1,processed,241
bell green pepper grilled,17,5.6,1.8,1.3,0.3,whole,156
fingerling potato roasted,58,19.4,3.1,2.6,9.0,processed,142
marinara sauce,56,24.8,0.6,3.0,17.4,processed,27
carrot juice canned,47,11.6,0.2,1.9,0.1,processed,249
paneer curry red,47,22.9,2.7,16.1,13.8,processed,253
hulled barley cooked,27,73.9,16.3,11.4,2.4,minimally_processed,155
steak beef pan-seared,0,0.0,0.0,25.6,23.3,minimally_processed,97
coconut sugar sweetener,67,80.7,0.3,0.1,0.0,minimally_processed,19
guava tropical fruit dried,62,12.2,2.6,0.9,0.5,whole,157
cauliflower cruciferous steamed,12,6.5,2.0,2.8,0.4,whole,84
brazil nut unsalted,16,11.3,9.1,24.6,60.2,minimally_processed,29
shallot onion pureed,17,8.1,2.0,1.5,0.1,whole,150
fish taco soft shell,60,28.8,4.4,17.5,12.4,processed,99
steak beef baked,0,0.0,0.0,25.2,13.5,minimally_processed,97
sweet potato mashed,90,23.0,3.7,2.0,14.0,processed,155
bell red pepper sauteed,10,4.3,2.2,1.2,0.4,whole,160
ripe banana frozen,46,22.3,2.6,1.4,0.2,whole,115
blackberry berry dried,44,8.7,5.3,1.3,0.4,whole,138
chicken sausage baked,9,4.7,0.0,21.4,15.8,processed,78
shrimp taco corn tortilla,64,33.8,2.5,19.0,16.7,processed,102
jasmine tea hot,18,1.1,0.0,0.1,0.0,minimally_processed,253
tilapia fish stewed,0,0.0,0.0,24.5,4.6,minimally_processed,107
thigh turkey sliced,0,0.5,0.0,29.4,0.9,minimally_processed,96
mcintosh apple,36,12.4,2.5,0.3,0.2,whole,180
five grain tempeh baked,2,9.3,0.0,20.8,10.2,processed,108
udon noodle dish stir fried,58,43.3,2.2,15.0,11.3,processed,341
bok choy cruciferous pickled,19,6.2,2.8,3.2,0.3,whole,87
decaf coffee hot,15,9.1,0.0,1.2,0.6,minimally_processed,240
balsamic vinegar,10,2.3,0.0,0.0,0.0,processed,13
yellow lentil refried,30,21.9,8.9,9.1,0.5,minimally_processed,213
sirloin beef baked,0,0.0,0.0,23.5,22.1,minimally_processed,105
butternut squash pureed,67,8.2,1.7,1.2,0.2,whole,117
water cracker,73,68.8,3.2,10.4,19.5,processed,30
honeycrisp apple juiced,33,15.3,3.3,0.4,0.1,whole,164
clams seafood roasted,0,0.1,0.0,23.5,0.6,minimally_processed,91
bean burrito flour tortilla,50,57.5,7.4,30.2,24.9,processed,232
salted peanut,13,14.1,8.2,26.1,48.3,minimally_processed,29
plum stone fruit canned,41,10.8,1.7,0.9,0.3,whole,147
corn chips plain,51,54.2,6.9,7.0,36.4,ultra_processed,27
trout fish roasted,0,0.0,0.0,27.4,12.1,minimally_processed,109
tortilla chips salted,68,51.9,7.8,6.5,27.9,ultra_processed,28
tenderloin beef poached,0,0.0,0.0,20.1,23.5,minimally_processed,100
espresso coffee hot,21,10.6,0.0,2.6,3.7,minimally_processed,261
club sandwich on rye,63,46.7,5.5,29.3,10.4,processed,156
heirloom tomato canned,20,4.1,1.0,0.8,0.2,whole,178
black tea unsweetened,10,0.9,0.0,0.2,0.0,minimally_processed,228
steak beef braised,0,0.0,0.0,24.0,7.5,minimally_processed,91
instant oats porridge,43,68.1,10.6,16.7,6.6,minimally_processed,89
non-fat yogurt,20,5.7,0.0,13.1,6.7,processed,155
chicken burger single,59,30.7,2.7,34.0,35.6,processed,139
black-eyed pea canned,30,16.2,7.1,5.3,0.4,minimally_processed,154
blackberry jam,55,72.1,1.8,0.3,0.2,processed,19
canadian bacon crispy,0,0.2,0.0,25.9,49.6,processed,14
enoki mushroom sauteed,18,3.2,1.1,3.3,0.2,whole,75
veggie sushi roll with white rice,59,37.2,1.1,10.2,7.0,processed,109
white quinoa boiled,54,21.4,2.8,4.4,1.8,minimally_processed,167
navel orange,45,11.5,2.8,1.0,0.2,whole,137
acorn squash roasted,57,5.5,1.5,1.9,0.2,whole,132
orange juice canned,48,11.8,0.2,0.6,0.0,processed,256
mcintosh apple frozen,35,12.9,2.1,0.4,0.2,whole,164
yellow squash squash pickled,43,11.7,2.2,1.8,0.2,whole,112
lamb curry green,40,22.6,5.4,20.8,18.1,processed,274
egg salad sandwich on wheat,63,44.8,2.6,26.6,17.6,processed,158
distilled vinegar,12,2.8,0.0,0.0,0.0,processed,13
mandarin orange canned,42,12.7,2.8,1.1,0.2,whole,122
granny smith apple juiced,40,12.2,3.0,0.3,0.2,whole,170
pomegranate juice canned,68,13.7,0.2,1.8,0.0,processed,230
baguette bread stale,52,43.8,5.7,10.6,3.3,processed,30
blueberry pancake plain,72,58.5,1.9,10.1,13.4,processed,77
latte coffee iced,0,1.8,0.0,1.9,3.7,minimally_processed,222
mcintosh apple canned,38,12.8,2.3,0.4,0.3,whole,171
mustard greens leafy green steamed,20,4.4,1.9,3.2,0.4,whole,29
kabocha squash boiled,69,9.3,2.6,1.9,0.2,whole,126
milk chocolate,20,52.6,9.1,7.8,42.4,processed,27
vegetable frozen meal,52,31.2,4.9,18.8,22.4,processed,290
pork dumpling fried,46,26.6,1.9,8.9,11.3,processed,103
ham sandwich on rye,58,43.5,4.9,32.9,24.8,processed,164
cashew nut salted,25,13.3,9.4,20.6,65.5,minimally_processed,26
halibut fish grilled,0,0.0,0.0,22.5,11.3,minimally_processed,107
beet root vegetable grilled,44,11.3,2.7,1.2,0.1,whole,132
enoki mushroom pickled,17,2.2,2.0,2.2,0.5,whole,63
wing chicken roasted,0,0.0,0.0,31.7,8.8,minimally_processed,93
spinach leafy green steamed,12,2.9,2.7,2.7,0.2,whole,27
focaccia bread fresh,79,51.4,7.9,14.3,3.0,processed,29
fruit cocktail fruit cup in juice,57,20.3,1.9,0.7,0.1,processed,110
tenderloin pork stewed,0,0.7,0.0,25.8,32.8,processed,99
shiitake mushroom grilled,19,2.4,1.5,2.7,0.4,whole,75
oyster mushroom roasted,17,3.0,1.5,3.3,0.3,whole,76
watercress leafy green pickled,20,2.2,2.5,2.2,0.4,whole,32
bell red pepper roasted,16,5.7,2.2,1.0,0.4,whole,139
raw peanut,15,16.9,8.5,24.9,49.3,processed,27
butter peanut,12,14.3,8.7,27.3,50.5,minimally_processed,28
chocolate muffin,63,49.1,4.1,7.5,19.6,processed,58
guacamole avocado,11,8.4,6.2,3.0,15.7,whole,154
sprouted bread toasted,60,52.8,5.5,9.2,4.3,processed,25
sugar snap pea frozen,22,19.1,7.9,5.0,0.4,minimally_processed,144
watercress leafy green steamed,11,2.0,1.7,3.0,0.3,whole,28
yellow onion grilled,11,7.8,1.9,1.3,0.1,whole,162
supreme pizza thin crust,59,31.3,3.9,12.1,16.1,processed,98
bran flakes cereal dry,58,71.6,10.0,13.5,12.6,processed,27
ground chicken grilled,0,0.0,0.0,30.4,4.2,minimally_processed,96
pita bread fresh,56,40.5,5.8,13.8,4.0,processed,26
plain tempeh fried,2,8.9,0.0,18.0,10.3,processed,91
chicken sausage poached,15,1.6,0.0,19.1,27.6,processed,82
mango tropical fruit,46,14.1,3.2,0.8,0.1,whole,135
chicken stir fry with rice,60,42.4,3.2,20.2,10.4,processed,336
spicy tuna sushi roll with white rice,57,38.4,2.0,17.9,7.5,processed,106
pot pie frozen meal,50,33.8,3.6,23.6,23.9,processed,268
shrimp burrito flour tortilla,62,54.7,9.0,34.0,19.3,processed,249
valencia orange,47,11.1,2.7,1.1,0.2,whole,131
tempura sushi roll with brown rice,73,34.8,2.2,13.3,11.0,processed,94
pearl barley cooked,34,70.7,17.9,11.2,2.2,minimally_processed,146
bell red pepper boiled,19,6.2,2.1,1.3,0.2,whole,147
tomato juice fresh,43,14.2,0.5,0.6,0.0,processed,259
lo mein noodle dish with broth,63,51.4,3.2,16.6,12.2,processed,328
blue cheese,0,1.2,0.0,19.6,20.9,processed,26
black quinoa boiled,51,21.1,2.8,4.3,1.8,minimally_processed,185
zucchini squash grilled,29,6.9,2.7,1.4,0.1,whole,124
steak beef grilled,0,0.0,0.0,24.3,24.7,minimally_processed,98
boysenberry berry,28,12.2,7.7,1.2,0.2,whole,131
strawberry ice cream,45,22.2,0.2,3.8,13.0,processed,60
pad thai noodle dish with broth,58,50.0,3.7,18.7,18.1,processed,337
clementine orange canned,49,12.4,2.8,0.9,0.1,whole,137
boysenberry berry frozen,34,12.9,5.4,1.0,0.4,whole,148
zucchini squash boiled,19,10.9,2.7,1.9,0.3,whole,124
pork sausage grilled,10,0.9,0.0,17.3,28.7,processed,81
whole wheat waffle,59,46.8,2.1,7.7,13.0,processed,74
vegetable spring roll fresh,61,21.1,1.9,11.7,6.2,processed,86
grilled cheese sandwich on rye,55,42.1,2.9,30.1,20.5,processed,135
